Shift (m), Intensity (a.u.)
-1.500000000000000038e-06,2.015000425670324733e-08
-1.499599893304881400e-06,2.016269197364352533e-08
-1.499199786609762550e-06,2.017517585397679749e-08
-1.498799679914643912e-06,2.018730241535541477e-08
-1.498399573219525274e-06,2.019932728836835285e-08
-1.497999466524406636e-06,2.021110300761497959e-08
-1.497599359829287786e-06,2.022270315037821576e-08
-1.497199253134169148e-06,2.023411269204202513e-08
-1.496799146439050510e-06,2.024549017152118834e-08
-1.496399039743931661e-06,2.025674483586302630e-08
-1.495998933048813023e-06,2.026804087158257207e-08
-1.495598826353694385e-06,2.027926558779520593e-08
-1.495198719658575747e-06,2.029069915168188192e-08
-1.494798612963456897e-06,2.030223351798387141e-08
-1.494398506268338259e-06,2.031385547019333184e-08
-1.493998399573219621e-06,2.032540285412220352e-08
-1.493598292878100771e-06,2.033672624431995089e-08
-1.493198186182982133e-06,2.034783656025922796e-08
-1.492798079487863495e-06,2.035896030336010636e-08
-1.492397972792744857e-06,2.036987387107991382e-08
-1.491997866097626007e-06,2.038066657271929414e-08
-1.491597759402507369e-06,2.039154027351457900e-08
-1.491197652707388731e-06,2.040244148640860505e-08
-1.490797546012269882e-06,2.041298691870197761e-08
-1.490397439317151244e-06,2.042321729456069695e-08
-1.489997332622032606e-06,2.043332981668273507e-08
-1.489597225926913968e-06,2.044341384652735043e-08
-1.489197119231795118e-06,2.045336504577583939e-08
-1.488797012536676480e-06,2.046340589775992676e-08
-1.488396905841557842e-06,2.047329066331583928e-08
-1.487996799146438992e-06,2.048312365702450980e-08
-1.487596692451320354e-06,2.049311085510997113e-08
-1.487196585756201716e-06,2.050319673775229803e-08
-1.486796479061083078e-06,2.051326987037813763e-08
-1.486396372365964228e-06,2.052353448958414953e-08
-1.485996265670845590e-06,2.053387038227622484e-08
-1.485596158975726952e-06,2.054417858055220547e-08
-1.485196052280608102e-06,2.055433408236000509e-08
-1.484795945585489464e-06,2.056422269328866470e-08
-1.484395838890370826e-06,2.057371844184183514e-08
-1.483995732195252188e-06,2.058283588784940705e-08
-1.483595625500133339e-06,2.059179092649866595e-08
-1.483195518805014701e-06,2.060044489050998551e-08
-1.482795412109896063e-06,2.060853880332771915e-08
-1.482395305414777213e-06,2.061654115529382728e-08
-1.481995198719658575e-06,2.062438209075208531e-08
-1.481595092024539937e-06,2.063212240480559679e-08
-1.481194985329421299e-06,2.063982587320101967e-08
-1.480794878634302449e-06,2.064741138785530610e-08
-1.480394771939183811e-06,2.065492728760861636e-08
-1.479994665244065173e-06,2.066227943972579532e-08
-1.479594558548946323e-06,2.066955512512269406e-08
-1.479194451853827685e-06,2.067656923793096466e-08
-1.478794345158709047e-06,2.068334655725868634e-08
-1.478394238463590409e-06,2.068999958159279137e-08
-1.477994131768471560e-06,2.069692369466149591e-08
-1.477594025073352922e-06,2.070373490623027260e-08
-1.477193918378234284e-06,2.071031325264720586e-08
-1.476793811683115434e-06,2.071671804446277004e-08
-1.476393704987996796e-06,2.072277974439865527e-08
-1.475993598292878158e-06,2.072843569723190656e-08
-1.475593491597759520e-06,2.073398510197009520e-08
-1.475193384902640670e-06,2.073958248303575319e-08
-1.474793278207522032e-06,2.074495618344682959e-08
-1.474393171512403394e-06,2.075038108822330181e-08
-1.473993064817284544e-06,2.075589187632769328e-08
-1.473592958122165906e-06,2.076130616817429352e-08
-1.473192851427047268e-06,2.076649647879109893e-08
-1.472792744731928630e-06,2.077181078055203574e-08
-1.472392638036809781e-06,2.077700040144659479e-08
-1.471992531341691142e-06,2.078185770657991047e-08
-1.471592424646572504e-06,2.078636549204236106e-08
-1.471192317951453655e-06,2.079070245406874523e-08
-1.470792211256335017e-06,2.079506680039956137e-08
-1.470392104561216379e-06,2.079929547742306775e-08
-1.469991997866097741e-06,2.080327384635629903e-08
-1.469591891170978891e-06,2.080719649049082803e-08
-1.469191784475860253e-06,2.081089662655688867e-08
-1.468791677780741615e-06,2.081448652397646023e-08
-1.468391571085622977e-06,2.081781030365074735e-08
